location,date,vaccine,total_vaccinations
Argentina,12/29/2020,Oxford/AstraZeneca,1
Argentina,12/29/2020,Sinopharm/Beijing,1
Argentina,12/29/2020,Sputnik V,20487
Argentina,12/30/2020,Sputnik V,40589
Argentina,12/31/2020,Sputnik V,43395
Argentina,1/1/2021,Oxford/AstraZeneca,3
Argentina,1/1/2021,Sputnik V,43520
Argentina,1/2/2021,Oxford/AstraZeneca,4
Argentina,1/2/2021,Pfizer/BioNTech,1
Argentina,1/2/2021,Sputnik V,46830
Argentina,1/3/2021,Pfizer/BioNTech,2
Argentina,1/3/2021,Sputnik V,47273
Argentina,1/4/2021,Sputnik V,57734
Argentina,1/5/2021,Sinopharm/Beijing,5
Argentina,1/5/2021,Sputnik V,68459
Argentina,1/6/2021,Oxford/AstraZeneca,5
Argentina,1/6/2021,Pfizer/BioNTech,3
Argentina,1/6/2021,Sinopharm/Beijing,8
Argentina,1/6/2021,Sputnik V,78566
Argentina,1/7/2021,Oxford/AstraZeneca,6
Argentina,1/7/2021,Pfizer/BioNTech,4
Argentina,1/7/2021,Sinopharm/Beijing,9
Argentina,1/7/2021,Sputnik V,96789
Argentina,1/8/2021,Sputnik V,124678
Argentina,1/9/2021,Pfizer/BioNTech,5
Argentina,1/9/2021,Sinopharm/Beijing,10
Argentina,1/9/2021,Sputnik V,134885
Argentina,1/10/2021,Pfizer/BioNTech,7
Argentina,1/10/2021,Sinopharm/Beijing,11
Argentina,1/10/2021,Sputnik V,136059
Argentina,1/11/2021,Oxford/AstraZeneca,7
Argentina,1/11/2021,Sinopharm/Beijing,13
Argentina,1/11/2021,Sputnik V,155881
Argentina,1/12/2021,Oxford/AstraZeneca,9
Argentina,1/12/2021,Pfizer/BioNTech,8
Argentina,1/12/2021,Sinopharm/Beijing,16
Argentina,1/12/2021,Sputnik V,175267
Argentina,1/13/2021,Oxford/AstraZeneca,10
Argentina,1/13/2021,Sinopharm/Beijing,20
Argentina,1/13/2021,Sputnik V,192035
Argentina,1/14/2021,Pfizer/BioNTech,9
Argentina,1/14/2021,Sinopharm/Beijing,21
Argentina,1/14/2021,Sputnik V,208686
Argentina,1/15/2021,Sputnik V,226131
Argentina,1/16/2021,Sputnik V,232015
Argentina,1/17/2021,Sputnik V,233077
Argentina,1/18/2021,Pfizer/BioNTech,10
Argentina,1/18/2021,Sputnik V,242908
Argentina,1/19/2021,Sinopharm/Beijing,22
Argentina,1/19/2021,Sputnik V,256157
Argentina,1/20/2021,Sputnik V,275585
Argentina,1/21/2021,Oxford/AstraZeneca,15
Argentina,1/21/2021,Sinopharm/Beijing,24
Argentina,1/21/2021,Sputnik V,289697
Argentina,1/22/2021,Oxford/AstraZeneca,18
Argentina,1/22/2021,Sinopharm/Beijing,25
Argentina,1/22/2021,Sputnik V,298912
Argentina,1/23/2021,Oxford/AstraZeneca,23
Argentina,1/23/2021,Sputnik V,302852
Argentina,1/24/2021,Oxford/AstraZeneca,24
Argentina,1/24/2021,Sputnik V,303154
Argentina,1/25/2021,Oxford/AstraZeneca,32
Argentina,1/25/2021,Sputnik V,317361
Argentina,1/26/2021,Oxford/AstraZeneca,70
Argentina,1/26/2021,Sinopharm/Beijing,26
Argentina,1/26/2021,Sputnik V,330137
Argentina,1/27/2021,Oxford/AstraZeneca,72
Argentina,1/27/2021,Sputnik V,340243
Argentina,1/28/2021,Sputnik V,356290
Argentina,1/29/2021,Oxford/AstraZeneca,73
Argentina,1/29/2021,Sputnik V,379792
Argentina,1/30/2021,Sputnik V,389106
Argentina,1/31/2021,Sinopharm/Beijing,27
Argentina,1/31/2021,Sputnik V,389729
Argentina,2/1/2021,Oxford/AstraZeneca,92
Argentina,2/1/2021,Sputnik V,409237
Argentina,2/2/2021,Oxford/AstraZeneca,125
Argentina,2/2/2021,Sputnik V,433083
Argentina,2/3/2021,Oxford/AstraZeneca,133
Argentina,2/3/2021,Sinopharm/Beijing,30
Argentina,2/3/2021,Sputnik V,459689
Argentina,2/4/2021,Oxford/AstraZeneca,138
Argentina,2/4/2021,Sinopharm/Beijing,53
Argentina,2/4/2021,Sputnik V,487798
Argentina,2/5/2021,CanSino,2
Argentina,2/5/2021,Oxford/AstraZeneca,143
Argentina,2/5/2021,Sinopharm/Beijing,60
Argentina,2/5/2021,Sputnik V,520828
Argentina,2/6/2021,Sinopharm/Beijing,64
Argentina,2/6/2021,Sputnik V,531753
Argentina,2/7/2021,Sinopharm/Beijing,68
Argentina,2/7/2021,Sputnik V,533132
Argentina,2/8/2021,Oxford/AstraZeneca,145
Argentina,2/8/2021,Sinopharm/Beijing,69
Argentina,2/8/2021,Sputnik V,556558
Argentina,2/9/2021,Oxford/AstraZeneca,147
Argentina,2/9/2021,Sinopharm/Beijing,75
Argentina,2/9/2021,Sputnik V,576749
Argentina,2/10/2021,Oxford/AstraZeneca,150
Argentina,2/10/2021,Sinopharm/Beijing,80
Argentina,2/10/2021,Sputnik V,592368
Argentina,2/11/2021,Oxford/AstraZeneca,153
Argentina,2/11/2021,Sinopharm/Beijing,86
Argentina,2/11/2021,Sputnik V,610215
Argentina,2/12/2021,Oxford/AstraZeneca,154
Argentina,2/12/2021,Sinopharm/Beijing,87
Argentina,2/12/2021,Sputnik V,626054
Argentina,2/13/2021,Oxford/AstraZeneca,156
Argentina,2/13/2021,Sinopharm/Beijing,89
Argentina,2/13/2021,Sputnik V,629086
Argentina,2/14/2021,Sinopharm/Beijing,91
Argentina,2/14/2021,Sputnik V,629236
Argentina,2/15/2021,Pfizer/BioNTech,11
Argentina,2/15/2021,Sinopharm/Beijing,93
Argentina,2/15/2021,Sputnik V,630551
Argentina,2/16/2021,Oxford/AstraZeneca,168
